nbrdesc,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
four by four,74.44,2.22,NA,5.56,4.44,13.33,NA,NA,62.9,3.23,NA,8.06,6.45,19.35,NA,NA
frankford,41.53,1.25,1.82,4.88,18.84,31.54,0.11,0.04,38.82,1.31,1.9,5.1,19.71,33,0.12,0.04
franklin square,37.66,2.19,1.28,4.94,18.92,34.64,0.37,NA,12.11,3.09,1.8,6.96,26.68,48.84,0.52,NA
franklintown,NA,3.05,1.38,5.31,18.31,71.75,0.2,NA,NA,3.05,1.38,5.31,18.31,71.75,0.2,NA
franklintown road,46.86,4.09,3.46,4.4,17.61,23.58,NA,NA,41.72,4.48,3.79,4.83,19.31,25.86,NA,NA
garwyn oaks,48.69,4.3,2.15,2.63,20.05,21.72,0.48,NA,47.17,4.42,2.21,2.7,20.64,22.36,0.49,NA
gay street,40.3,3.29,2.47,7.07,25.33,21.55,NA,NA,20.74,4.37,3.28,9.39,33.62,28.6,NA,NA
glen,49.71,2.08,0.72,8.54,14.63,24.32,NA,NA,48.42,2.14,0.74,8.77,14.96,24.98,NA,NA
glen oaks,26.07,3.43,1.39,4.55,15.96,48.24,0.37,NA,25.79,3.45,1.4,4.56,16.01,48.42,0.37,NA
glenham-belhar,59.49,2.29,0.76,3.81,20.02,13.63,NA,NA,56.54,2.45,0.82,4.09,21.47,14.62,NA,NA
graceland park,45.83,2.33,2.33,4.79,16.69,28.04,NA,NA,42.69,2.46,2.46,5.07,17.66,29.67,NA,NA
greektown,28.72,1.91,1.55,2.26,14.54,50.77,0.24,NA,11.67,2.36,1.92,2.81,18.02,62.92,0.3,NA
greenmount cemetery,10.17,NA,6.78,8.47,10.17,64.41,NA,NA,5.36,NA,7.14,8.93,10.71,67.86,NA,NA
greenmount west,29.69,3.07,0.96,3.07,12.45,50.57,0.19,NA,4.18,4.18,1.31,4.18,16.97,68.93,0.26,NA
greenspring,63.5,4.75,0.49,8.35,13.75,9.17,NA,NA,60.67,5.11,0.53,8.99,14.81,9.88,NA,NA
grove park,63.56,1.1,1.26,6.31,13.09,14.2,0.47,NA,63.39,1.11,1.27,6.34,13.15,14.26,0.48,NA
guilford,11.14,2.89,1.99,3.99,18.41,61.51,0.08,NA,10.79,2.9,2,4,18.48,61.75,0.08,NA
gwynns falls,38.96,0.78,2.08,1.56,11.17,44.94,0.52,NA,29.22,0.9,2.41,1.81,12.95,52.11,0.6,NA
gwynns falls/leakin park,NA,5.05,7.83,7.58,26.01,53.28,0.25,NA,NA,5.05,7.83,7.58,26.01,53.28,0.25,NA
hamilton hills,48.32,2.75,1.37,4.31,12.2,30.59,0.46,NA,46.97,2.82,1.41,4.42,12.52,31.39,0.47,NA
hampden,27.79,1.48,0.79,5.39,15.95,48.28,0.32,NA,12.2,1.8,0.96,6.55,19.4,58.7,0.39,NA
hanlon-longwood,42.31,2.35,2,6.17,25.72,21.29,0.17,NA,41.03,2.4,2.04,6.31,26.29,21.76,0.18,NA
harlem park,34.13,1.9,2.6,7.2,29.54,24.44,0.2,NA,16.53,2.41,3.29,9.12,37.43,30.97,0.25,NA
harwood,13.11,0.7,0.7,4.92,18.5,62.06,NA,NA,1.85,0.79,0.79,5.56,20.9,70.11,NA,NA
hawkins point,30.17,5.79,4.13,4.13,38.84,16.53,0.41,NA,30.17,5.79,4.13,4.13,38.84,16.53,0.41,NA
heritage crossing,6.26,0.89,1.94,5.66,18.18,66.92,0.15,NA,3.08,0.92,2,5.86,18.8,69.18,0.15,NA
herring run park,0.17,2.45,2.97,3.32,11.71,79.02,0.35,NA,0.17,2.45,2.97,3.32,11.71,79.02,0.35,NA
highlandtown,27.12,2.41,1.78,3.04,13.61,52.04,NA,NA,9.61,2.99,2.21,3.77,16.88,64.55,NA,NA
hillen,56.9,1.44,0.57,6.61,13.22,21.26,NA,NA,56.9,1.44,0.57,6.61,13.22,21.26,NA,NA
hoes heights,24.04,2.19,1.64,9.29,22.95,36.61,3.28,NA,20.57,2.29,1.71,9.71,24,38.29,3.43,NA
holabird industrial park,0.3,2.13,0.46,6.1,28.51,62.04,0.46,NA,NA,2.14,0.46,6.12,28.59,62.23,0.46,NA
hollins market,18.06,1.39,1.11,3.75,20.83,54.44,0.42,NA,3.75,1.63,1.31,4.4,24.47,63.95,0.49,NA
homeland,5.4,2.41,0.63,5.27,27.62,58.54,0.06,0.06,4.67,2.43,0.64,5.31,27.83,58.99,0.06,0.06
hopkins bayview,13.03,1.02,2.04,4.89,24.64,53.77,0.61,NA,6.36,1.1,2.19,5.26,26.54,57.89,0.66,NA
howard park,59.41,2.18,2.21,5.28,8.54,22.19,0.19,NA,58.96,2.21,2.24,5.34,8.63,22.44,0.2,NA
hunting ridge,27.46,3.03,1.88,3.32,15.32,48.41,0.43,0.14,27.35,3.04,1.88,3.33,15.34,48.48,0.43,0.14
idlewood,56.28,2.66,0.44,7.83,10.49,22.3,NA,NA,56.15,2.67,0.44,7.85,10.52,22.37,NA,NA
inner harbor,28.55,3.69,2.73,5.46,14.21,45.22,0.14,NA,4.56,4.93,3.65,7.3,18.98,60.4,0.18,NA
irvington,35.61,2.46,1.89,2.84,16.38,40.34,0.47,NA,27.35,2.78,2.14,3.21,18.48,45.51,0.53,NA
johns hopkins homewood,15.65,1.47,0.98,7.33,23.47,50.61,0.49,NA,12.44,1.52,1.02,7.61,24.37,52.54,0.51,NA
johnston square,63.37,1.34,1.59,4.15,9.89,19.41,0.24,NA,23.47,2.81,3.32,8.67,20.66,40.56,0.51,NA
jones falls area,NA,NA,4.17,NA,29.17,62.5,4.17,NA,NA,NA,4.17,NA,29.17,62.5,4.17,NA
jonestown,41.73,2.07,0.78,1.81,10.59,43.02,NA,NA,9.8,3.2,1.2,2.8,16.4,66.6,NA,NA
kenilworth park,66.91,1.49,0.37,6.69,14.5,10.04,NA,NA,66.91,1.49,0.37,6.69,14.5,10.04,NA,NA
kernewood,35.56,2.11,0.7,8.8,18.31,34.15,0.35,NA,35.11,2.13,0.71,8.87,18.44,34.4,0.35,NA
keswick,5.06,1.27,0.84,5.06,21.52,66.24,NA,NA,5.06,1.27,0.84,5.06,21.52,66.24,NA,NA
kresson,65.56,2.78,1.11,6.11,15.56,8.33,0.56,NA,47.46,4.24,1.69,9.32,23.73,12.71,0.85,NA
lake evesham,10.06,0.56,2.23,6.7,22.35,58.1,NA,NA,10.06,0.56,2.23,6.7,22.35,58.1,NA,NA
lake walker,30.65,1.96,0.22,3.48,10.22,53.48,NA,NA,30.65,1.96,0.22,3.48,10.22,53.48,NA,NA
lakeland,23.42,1.5,5.71,5.11,23.42,40.84,NA,NA,23.42,1.5,5.71,5.11,23.42,40.84,NA,NA
langston hughes,77.96,2.24,0.32,9.58,6.07,3.51,0.32,NA,72.18,2.82,0.4,12.1,7.66,4.44,0.4,NA
lauraville,41.13,2.39,0.56,3.42,12.57,39.78,0.16,NA,39.84,2.44,0.57,3.5,12.85,40.65,0.16,NA
levindale,32.37,1.28,0.96,7.05,17.95,40.38,NA,NA,32.37,1.28,0.96,7.05,17.95,40.38,NA,NA
liberty square,47.54,2.87,2.87,5.33,11.48,29.51,0.41,NA,43.11,3.11,3.11,5.78,12.44,32,0.44,NA
little italy,56.27,0.96,0.32,1.61,7.72,33.12,NA,NA,6.21,2.07,0.69,3.45,16.55,71.03,NA,NA
loch raven,52.95,4.77,0.62,4.04,12.44,25.08,0.1,NA,52.66,4.8,0.63,4.07,12.51,25.23,0.1,NA
locust point,28.74,0.94,1.08,2.02,11.2,56.01,NA,NA,3.12,1.28,1.47,2.75,15.23,76.15,NA,NA
locust point industrial area,18.67,1.79,2.05,7.42,8.95,61.13,NA,NA,5.92,2.07,2.37,8.58,10.36,70.71,NA,NA
lower edmondson village,54.84,3.23,NA,6.45,22.58,12.9,NA,NA,44,4,NA,8,28,16,NA,NA
lower herring run park,0.42,1.88,5.21,5,16.04,71.46,NA,NA,0.42,1.88,5.21,5,16.04,71.46,NA,NA
loyola/notre dame,NA,2.56,7.69,5.13,30.77,53.85,NA,NA,NA,2.56,7.69,5.13,30.77,53.85,NA,NA
lucille park,42.49,4.76,1.47,10.99,26.74,13.55,NA,NA,32.33,5.6,1.72,12.93,31.47,15.95,NA,NA
madison park,25.72,1.59,0.64,6.16,30.82,34.96,0.11,NA,7.42,1.99,0.79,7.68,38.41,43.58,0.13,NA
madison-eastend,16.28,2.15,0.72,3.94,11.99,64.76,0.18,NA,6.96,2.39,0.8,4.37,13.32,71.97,0.2,NA
mayfield,26.37,4.64,0.83,4.98,16.42,46.6,0.17,NA,25.13,4.72,0.84,5.06,16.69,47.39,0.17,NA
mcelderry park,16.03,2.34,1.49,3.4,16.77,59.55,0.42,NA,4,2.67,1.7,3.88,19.17,68.08,0.49,NA
medfield,34.38,1.82,1.04,4.17,13.02,45.57,NA,NA,31.34,1.91,1.09,4.36,13.62,47.68,NA,NA
medford,48.87,3.76,1.88,4.51,21.05,19.55,0.38,NA,46.25,3.95,1.98,4.74,22.13,20.55,0.4,NA
mid-govans,29.21,0.97,0.39,2.71,6,60.54,0.19,NA,26.8,1,0.4,2.8,6.2,62.6,0.2,NA
mid-town belvedere,8.54,2.55,2.46,6.08,14.37,64.94,1.07,NA,2.45,2.71,2.63,6.48,15.32,69.26,1.14,NA
middle branch/reedbird parks,1.67,0.8,5.68,5.68,16.91,69.18,0.07,NA,1.67,0.8,5.68,5.68,16.91,69.18,0.07,NA
middle east,34.14,2.22,1.52,4.85,11.82,45.45,NA,NA,11.41,2.99,2.04,6.52,15.9,61.14,NA,NA
midtown-edmondson,53.14,1.16,1.98,3.63,12.87,27.23,NA,NA,31.4,1.69,2.9,5.31,18.84,39.86,NA,NA
millhill,45.58,2.38,1.7,4.42,14.29,31.29,0.34,NA,25.93,3.24,2.31,6.02,19.44,42.59,0.46,NA
milton-montford,24.55,0.77,0.77,2.05,13.04,58.82,NA,NA,2.32,0.99,0.99,2.65,16.89,76.16,NA,NA
mondawmin,43.69,2.14,1.26,4.17,11.36,37.28,0.1,NA,30.54,2.63,1.56,5.15,14.01,45.99,0.12,NA
montebello,42.44,2.1,0.84,3.36,13.66,37.18,0.42,NA,41.95,2.12,0.85,3.39,13.77,37.5,0.42,NA
moravia-walther,25.48,6.13,0.32,1.61,11.94,54.52,NA,NA,25.48,6.13,0.32,1.61,11.94,54.52,NA,NA
morgan park,30.72,2.41,NA,9.64,15.06,42.17,NA,NA,30.72,2.41,NA,9.64,15.06,42.17,NA,NA
morgan state university,31.51,2.57,2.25,2.25,10.93,49.2,1.29,NA,30.16,2.62,2.3,2.3,11.15,50.16,1.31,NA
morrell park,51.61,2.49,1.61,4.5,9.16,30.31,0.32,NA,46.63,2.75,1.77,4.96,10.11,33.42,0.35,NA
mosher,55.83,0.67,1.57,1.79,13.23,26.68,0.22,NA,38.05,0.94,2.2,2.52,18.55,37.42,0.31,NA
mount holly,72.95,0.99,1.49,4.47,8.19,11.91,NA,NA,72.12,1.02,1.53,4.6,8.44,12.28,NA,NA
mount vernon,19.01,1.45,2.47,6.53,7.76,62.41,0.36,NA,3.3,1.65,2.95,7.81,9.28,74.59,0.43,NA
mount washington,21.89,2.5,2.23,9.56,22.61,41.15,0.04,NA,21.79,2.51,2.24,9.57,22.64,41.21,0.04,NA
mount winans,11.27,4.93,11.97,6.34,16.2,49.3,NA,NA,10.64,4.96,12.06,6.38,16.31,49.65,NA,NA
mt pleasant park,3,8.15,6.01,7.3,24.03,51.07,0.43,NA,3,8.15,6.01,7.3,24.03,51.07,0.43,NA
new northwood,21.72,2.48,1.6,5.39,17.49,51.17,NA,0.15,21.03,2.5,1.62,5.44,17.65,51.62,NA,0.15
new southwest/mount clare,34.98,1.54,2.31,2.62,11.09,47.15,0.31,NA,12.63,2.07,3.11,3.52,14.91,63.35,0.41,NA
north harford road,60.29,2.07,0.93,4,10,22.64,0.07,NA,59.56,2.11,0.95,4.07,10.18,23.05,0.07,NA
north roland park/poplar hill,2.25,3.1,0.85,6.2,17.18,70.42,NA,NA,2.25,3.1,0.85,6.2,17.18,70.42,NA,NA
northwest community action,58.78,3.15,0.68,2.93,6.76,27.7,NA,NA,44.71,4.23,0.91,3.93,9.06,37.16,NA,NA
o'donnell heights,35.37,NA,1.22,3.66,13.41,46.34,NA,NA,35.37,NA,1.22,3.66,13.41,46.34,NA,NA
oakenshawe,8.3,2.51,2.9,6.76,30.89,48.46,0.19,NA,5.94,2.57,2.97,6.93,31.68,49.7,0.2,NA
oaklee,67.21,4.92,1.64,3.28,8.2,14.75,NA,NA,63.64,5.45,1.82,3.64,9.09,16.36,NA,NA
old goucher,2.98,1.08,1.63,4.61,29.54,60.16,NA,NA,1.65,1.1,1.65,4.67,29.95,60.99,NA,NA
oldtown,46.64,2.86,1.29,6.01,16.45,26.47,0.29,NA,17.84,4.41,1.98,9.25,25.33,40.75,0.44,NA
oliver,31.98,4.85,1.11,6.42,15.53,39.97,0.13,NA,13.57,6.16,1.42,8.16,19.73,50.79,0.17,NA
orangeville,35.61,1.8,1.8,9.35,16.91,34.53,NA,NA,26.34,2.06,2.06,10.7,19.34,39.51,NA,NA
orangeville industrial area,14.62,6.13,1.89,3.77,13.68,59.91,NA,NA,6.22,6.74,2.07,4.15,15.03,65.8,NA,NA
orchard ridge,32.4,0.93,1.86,5.13,17.95,41.72,NA,NA,31.6,0.94,1.89,5.19,18.16,42.22,NA,NA
original northwood,9.92,4.83,2.54,3.56,13.99,65.14,NA,NA,9.92,4.83,2.54,3.56,13.99,65.14,NA,NA
otterbein,22.88,2.5,2.69,3.27,13.85,54.81,NA,NA,6.31,3.04,3.27,3.97,16.82,66.59,NA,NA
overlea,24.22,5.88,0.69,6.57,20.42,42.21,NA,NA,23.96,5.9,0.69,6.6,20.49,42.36,NA,NA
panway/braddish avenue,51.17,3.34,0.33,3.34,14.72,27.09,NA,NA,50.68,3.38,0.34,3.38,14.86,27.36,NA,NA
park circle,51.15,3.02,0.73,6.53,12.33,26.24,NA,NA,46.56,3.31,0.79,7.14,13.49,28.7,NA,NA
parklane,23.91,3.26,9.06,8.7,23.55,31.52,NA,NA,22.51,3.32,9.23,8.86,23.99,32.1,NA,NA
parkside,80.18,0.92,1.38,1.38,8.29,7.83,NA,NA,79.91,0.93,1.4,1.4,8.41,7.94,NA,NA
parkview/woodbrook,26.45,1.93,1.34,4.9,15.6,49.48,0.3,NA,13.61,2.27,1.57,5.76,18.32,58.12,0.35,NA
patterson park,4.65,2.18,2.13,4.85,12.07,74.07,0.05,NA,3.46,2.2,2.15,4.91,12.22,75,0.05,NA
patterson park neighborhood,14.63,0.76,1.21,1.97,13.42,67.93,0.08,NA,4.17,0.85,1.36,2.21,15.06,76.26,0.09,NA
patterson place,10.58,0.73,1.09,4.74,23.72,59.12,NA,NA,4.67,0.78,1.17,5.06,25.29,63.04,NA,NA
