nbrdesc,all_tracked_spaces,spaces_with_live_trees,spaces_without_live_trees,suitable_without_tree,unsuitable_without_tree,perc_spaces_treed,perc_spaces_nontreed,perc_of_nontreed_are_suitable,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed,poor_count,fair_count,good_count,poor_perc_of_live,fair_perc_of_live,good_perc_of_live,avg_ht,avg_diam
hampden,1893,1318,575,556,19,69.62,30.38,96.7,1318,575,171,49,336,19,29.74,8.52,58.43,3.3,220,355,38.26,102,302,914,7.74,22.91,69.35,26.2,11.84
hanlon-longwood,1151,612,539,539,NA,53.17,46.83,100,612,539,462,52,25,NA,85.71,9.65,4.64,NA,514,25,95.36,71,296,245,11.6,48.37,40.03,36.46,19.85
harlem park,2001,1224,777,550,227,61.17,38.83,70.79,1224,777,34,94,422,227,4.38,12.1,54.31,29.21,128,649,16.47,144,591,489,11.76,48.28,39.95,24.34,10.77
harwood,427,365,62,56,6,85.48,14.52,90.32,365,62,1,6,49,6,1.61,9.68,79.03,9.68,7,55,11.29,21,79,265,5.75,21.64,72.6,22.19,7.62
hawkins point,242,144,98,98,NA,59.5,40.5,100,144,98,73,25,NA,NA,74.49,25.51,NA,NA,98,NA,100,10,94,40,6.94,65.28,27.78,20.6,11.45
heritage crossing,671,609,62,62,NA,90.76,9.24,100,609,62,20,20,22,NA,32.26,32.26,35.48,NA,40,22,64.52,38,122,449,6.24,20.03,73.73,24.31,7.47
herring run park,572,538,34,34,NA,94.06,5.94,100,538,34,1,33,NA,NA,2.94,97.06,NA,NA,34,NA,100,19,67,452,3.53,12.45,84.01,25.86,12.83
highlandtown,955,656,299,267,32,68.69,31.31,89.3,656,299,42,40,185,32,14.05,13.38,61.87,10.7,82,217,27.42,29,130,497,4.42,19.82,75.76,16.51,5.86
hillen,348,143,205,205,NA,41.09,58.91,100,143,205,198,7,NA,NA,96.59,3.41,NA,NA,205,NA,100,23,46,74,16.08,32.17,51.75,38.1,20.41
hoes heights,183,126,57,57,NA,68.85,31.15,100,126,57,36,13,8,NA,63.16,22.81,14.04,NA,49,8,85.96,17,42,67,13.49,33.33,53.17,32.05,12.86
holabird industrial park,656,634,22,22,NA,96.65,3.35,100,634,22,NA,20,2,NA,NA,90.91,9.09,NA,20,2,90.91,40,187,407,6.31,29.5,64.2,17.35,7
hollins market,720,569,151,131,20,79.03,20.97,86.75,569,151,3,21,107,20,1.99,13.91,70.86,13.25,24,127,15.89,27,150,392,4.75,26.36,68.89,25.38,8.43
homeland,1575,1440,135,128,7,91.43,8.57,94.81,1440,135,66,49,12,7,48.89,36.3,8.89,5.19,115,19,85.19,83,435,922,5.76,30.21,64.03,30.89,17.63
hopkins bayview,491,409,82,80,2,83.3,16.7,97.56,409,82,27,18,35,2,32.93,21.95,42.68,2.44,45,37,54.88,24,121,264,5.87,29.58,64.55,18.14,7.44
howard park,3619,1303,2316,2311,5,36,64,99.78,1303,2316,2105,166,40,5,90.89,7.17,1.73,0.22,2271,45,98.06,191,309,803,14.66,23.71,61.63,30.8,14.67
hunting ridge,692,464,228,228,NA,67.05,32.95,100,464,228,189,37,1,NA,82.89,16.23,0.44,NA,226,1,99.12,23,106,335,4.96,22.84,72.2,36.14,14.42
idlewood,677,275,402,402,NA,40.62,59.38,100,275,402,379,21,2,NA,94.28,5.22,0.5,NA,400,2,99.5,53,71,151,19.27,25.82,54.91,33.56,18.53
inner harbor,732,475,257,242,15,64.89,35.11,94.16,475,257,10,48,184,15,3.89,18.68,71.6,5.84,58,199,22.57,40,104,331,8.42,21.89,69.68,20.57,6.95
irvington,1056,629,427,421,6,59.56,40.44,98.59,629,427,250,51,120,6,58.55,11.94,28.1,1.41,301,126,70.49,30,173,426,4.77,27.5,67.73,26.76,10.59
johns hopkins homewood,409,333,76,76,NA,81.42,18.58,100,333,76,49,12,15,NA,64.47,15.79,19.74,NA,61,15,80.26,30,96,207,9.01,28.83,62.16,30.88,15.67
johnston square,819,274,545,485,60,33.46,66.54,88.99,274,545,32,26,427,60,5.87,4.77,78.35,11.01,58,487,10.64,34,81,159,12.41,29.56,58.03,24.68,10.41
jones falls area,24,22,2,2,NA,91.67,8.33,100,22,2,NA,2,NA,NA,NA,100,NA,NA,2,NA,100,NA,7,15,NA,31.82,68.18,17.55,7.96
jonestown,774,429,345,336,9,55.43,44.57,97.39,429,345,40,22,274,9,11.59,6.38,79.42,2.61,62,283,17.97,14,82,333,3.26,19.11,77.62,20.37,8.1
kenilworth park,269,84,185,184,1,31.23,68.77,99.46,84,185,179,5,NA,1,96.76,2.7,NA,0.54,184,1,99.46,18,39,27,21.43,46.43,32.14,26.26,19.67
kernewood,284,174,110,108,2,61.27,38.73,98.18,174,110,97,9,2,2,88.18,8.18,1.82,1.82,106,4,96.36,25,52,97,14.37,29.89,55.75,25.13,12.11
keswick,237,220,17,17,NA,92.83,7.17,100,220,17,12,5,NA,NA,70.59,29.41,NA,NA,17,NA,100,12,51,157,5.45,23.18,71.36,35.95,15.74
kresson,180,54,126,109,17,30,70,86.51,54,126,39,8,62,17,30.95,6.35,49.21,13.49,47,79,37.3,11,28,15,20.37,51.85,27.78,29.91,15.67
lake evesham,179,156,23,23,NA,87.15,12.85,100,156,23,18,5,NA,NA,78.26,21.74,NA,NA,23,NA,100,12,40,104,7.69,25.64,66.67,17.91,10.49
lake walker,460,309,151,151,NA,67.17,32.83,100,309,151,141,10,NA,NA,93.38,6.62,NA,NA,151,NA,100,16,47,246,5.18,15.21,79.61,35.07,15.87
