nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
dolfield,6503,10.97,3568.5,6.02,6503,10.97,3568.5,6.02
dorchester,6179,10.92,3056.15,5.4,6179,10.92,3056.15,5.4
downtown,21785,11.4,7031.9,3.68,21785,11.4,7031.9,3.68
downtown west,2712,8.02,828.5,2.45,2712,8.02,828.5,2.45
druid heights,8816,14.04,3879.1,6.18,8816,14.04,3879.1,6.18
druid hill park,119992,32.83,63661.525,17.42,119992,32.83,63661.525,17.42
dunbar-broadway,10146,14.21,3954.09,5.54,10146,14.21,3954.09,5.54
east arlington,6702,20.19,3974.2,11.97,6702,20.19,3974.2,11.97
east baltimore midway,11851,9.76,5380.6,4.43,11851,9.76,5380.6,4.43
easterwood,3305,7.6,1727.9,3.97,3305,7.6,1727.9,3.97
eastwood,288,2.48,149.7,1.29,288,2.48,149.7,1.29
edgewood,6066,17.43,3643.9,10.47,6066,17.43,3643.9,10.47
edmondson village,8143,19.03,4349.9,10.16,8143,19.03,4349.9,10.16
ednor gardens-lakeside,28347,17.12,13455,8.12,28347,17.12,13455,8.12
ellwood park/monument,13948,13.07,4715.35,4.42,13948,13.07,4715.35,4.42
evergreen,9104,28.54,4045.2,12.68,9104,28.54,4045.2,12.68
evergreen lawn,3282,12.38,1827.9,6.9,3282,12.38,1827.9,6.9
evesham park,9692,32.74,4563.2,15.42,9692,32.74,4563.2,15.42
fairfield area,6308,18.77,3353.5,9.98,6308,18.77,3353.5,9.98
fairmont,7618,21.52,4563.4,12.89,7618,21.52,4563.4,12.89
fallstaff,9000,16.1,4273.6,7.65,9000,16.1,4273.6,7.65
federal hill,19033,18.46,7682.1,7.45,19033,18.46,7682.1,7.45
fells point,20309,14.54,8206.6,5.87,20309,14.54,8206.6,5.87
forest park,5806,8.78,3634.9,5.5,5806,8.78,3634.9,5.5
forest park golf course,8697,21.47,4441.8,10.97,8697,21.47,4441.8,10.97
four by four,710,7.89,390.3,4.34,710,7.89,390.3,4.34
frankford,38131,14.42,15239.05,5.76,38131,14.42,15239.05,5.76
franklin square,16594,15.17,6728.1,6.15,16594,15.17,6728.1,6.15
franklintown,34660,34.11,16334.9,16.08,34660,34.11,16334.9,16.08
franklintown road,5550,17.45,2971.5,9.34,5550,17.45,2971.5,9.34
garwyn oaks,6027,14.38,3505.7,8.37,6027,14.38,3505.7,8.37
gay street,7616,12.53,4185.5,6.88,7616,12.53,4185.5,6.88
glen,27317,19.6,13582.1,9.74,27317,19.6,13582.1,9.74
glen oaks,22342,20.73,12155.2,11.28,22342,20.73,12155.2,11.28
glenham-belhar,12981,12.37,7016,6.69,12981,12.37,7016,6.69
graceland park,7804,10.68,3322.6,4.55,7804,10.68,3322.6,4.55
greektown,9905,11.81,3450.2,4.11,9905,11.81,3450.2,4.11
greenmount cemetery,748,12.68,198,3.36,748,12.68,198,3.36
greenmount west,8384,16.06,2733,5.24,8384,16.06,2733,5.24
greenspring,6226,10.19,3734.3,6.11,6226,10.19,3734.3,6.11
grove park,7928,12.5,3539.74,5.58,7928,12.5,3539.74,5.58
