nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
fells point,17,55,316,56,953,444,3.83,12.39,71.17,12.61,34,21,55,61.82,38.18,1397,953,444,5.14,19.2,75.66,49,183,721,19985,20.97,7643.6,8.02,68.22,389,34,21,49,183,721,NA
forest park,430,23,26,9,173,488,88.11,4.71,5.33,1.84,12,11,23,52.17,47.83,661,173,488,19.65,57.23,23.12,34,99,40,5551,32.09,3216.5,18.59,26.17,465,12,11,34,99,40,NA
forest park golf course,169,30,1,1,204,201,84.08,14.93,0.5,0.5,15,15,30,50,50,405,204,201,9.8,27.45,62.75,20,56,128,8150,39.95,3800.7,18.63,50.37,171,15,15,20,56,128,NA
four by four,38,2,28,1,21,69,55.07,2.9,40.58,1.45,2,NA,2,100,NA,90,21,69,23.81,19.05,57.14,5,4,12,710,33.81,337.3,16.06,23.33,67,2,NA,5,4,12,NA
frankford,958,84,117,23,1461,1183,80.98,7.1,9.89,1.94,36,48,84,42.86,57.14,2644,1461,1183,8.83,34.09,57.08,129,498,834,37321,25.54,14325.95,9.81,55.26,1098,36,48,129,498,834,1
franklin square,10,42,318,84,640,454,2.2,9.25,70.04,18.5,28,14,42,66.67,33.33,1094,640,454,8.44,32.34,59.22,54,207,379,16261,25.41,6304.3,9.85,58.5,412,28,14,54,207,379,NA
franklintown,NA,47,NA,NA,969,47,NA,100,NA,NA,33,14,47,70.21,29.79,1016,969,47,5.57,19.2,75.23,54,186,729,34128,35.22,15448.2,15.94,95.37,NA,33,14,54,186,729,NA
franklintown road,118,24,28,3,145,173,68.21,13.87,16.18,1.73,13,11,24,54.17,45.83,318,145,173,9.66,38.62,51.72,14,56,75,5090,35.1,2515.2,17.35,45.6,149,13,11,14,56,75,NA
garwyn oaks,192,29,12,NA,186,233,82.4,12.45,5.15,NA,20,9,29,68.97,31.03,419,186,233,5.91,45.16,48.92,11,84,91,5851,31.46,3088.2,16.6,44.39,204,20,9,11,84,91,NA
gay street,16,35,150,79,328,280,5.71,12.5,53.57,28.21,20,15,35,57.14,42.86,608,328,280,13.11,46.95,39.94,43,154,131,7324,22.33,3793.3,11.56,53.95,245,20,15,43,154,131,NA
glen,652,39,36,5,662,732,89.07,5.33,4.92,0.68,29,10,39,74.36,25.64,1394,662,732,17.98,30.82,51.21,119,204,339,27132,40.98,12773.5,19.3,47.49,693,29,10,119,204,339,NA
