nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable
mount washington,486,107,3,1,1641,597,81.41,17.92,0.5,0.17
mount winans,13,24,1,2,102,40,32.5,60,2.5,5
mt pleasant park,7,34,NA,NA,192,41,17.07,82.93,NA,NA
new northwood,143,28,6,NA,508,178,80.34,15.73,3.37,NA
new southwest/mount clare,24,27,166,37,395,254,9.45,10.63,65.35,14.57
north harford road,809,43,25,10,513,887,91.21,4.85,2.82,1.13
north roland park/poplar hill,8,14,NA,NA,333,22,36.36,63.64,NA,NA
northwest community action,143,17,113,5,166,278,51.44,6.12,40.65,1.8
o'donnell heights,29,1,NA,NA,52,30,96.67,3.33,NA,NA
oakenshawe,30,29,13,NA,446,72,41.67,40.28,18.06,NA
oaklee,35,4,6,NA,16,45,77.78,8.89,13.33,NA
old goucher,NA,10,5,6,348,21,NA,47.62,23.81,28.57
oldtown,31,31,245,50,342,357,8.68,8.68,68.63,14.01
oliver,43,93,325,120,945,581,7.4,16.01,55.94,20.65
orangeville,64,10,35,NA,169,109,58.72,9.17,32.11,NA
orangeville industrial area,12,17,19,NA,164,48,25,35.42,39.58,NA
orchard ridge,134,12,5,NA,278,151,88.74,7.95,3.31,NA
original northwood,39,29,NA,NA,325,68,57.35,42.65,NA,NA
otterbein,7,27,92,20,374,146,4.79,18.49,63.01,13.7
overlea,69,19,1,NA,200,89,77.53,21.35,1.12,NA
panway/braddish avenue,149,11,3,1,135,164,90.85,6.71,1.83,0.61
park circle,324,31,71,28,373,454,71.37,6.83,15.64,6.17
parklane,60,34,5,1,176,100,60,34,5,1
parkside,171,5,3,NA,38,179,95.53,2.79,1.68,NA
parkview/woodbrook,68,24,100,10,471,202,33.66,11.88,49.5,4.95
patterson park,68,88,25,1,1839,182,37.36,48.35,13.74,0.55
patterson park neighborhood,6,27,144,43,1099,220,2.73,12.27,65.45,19.55
patterson place,3,5,17,9,240,34,8.82,14.71,50,26.47
pen lucy,115,10,35,4,113,164,70.12,6.1,21.34,2.44
penn north,5,20,172,37,264,234,2.14,8.55,73.5,15.81
penn-fallsway,1,11,260,28,117,300,0.33,3.67,86.67,9.33
penrose/fayette street outreach,94,22,308,46,311,470,20,4.68,65.53,9.79
perkins homes,25,16,11,3,137,55,45.45,29.09,20,5.45
perring loch,537,26,NA,NA,312,564,95.21,4.61,NA,NA
pimlico good neighbors,61,7,12,1,188,81,75.31,8.64,14.81,1.23
pleasant view gardens,23,7,54,3,67,87,26.44,8.05,62.07,3.45
poppleton,24,18,359,42,621,443,5.42,4.06,81.04,9.48
port covington,4,11,4,NA,171,19,21.05,57.89,21.05,NA
pulaski industrial area,377,26,120,1,538,524,71.95,4.96,22.9,0.19
purnell,1,NA,NA,NA,7,1,100,NA,NA,NA
radnor-winston,42,17,NA,NA,191,59,71.19,28.81,NA,NA
ramblewood,311,39,3,1,312,354,87.85,11.02,0.85,0.28
reisterstown station,133,12,15,NA,156,160,83.12,7.5,9.38,NA
remington,80,29,185,104,672,398,20.1,7.29,46.48,26.13
reservoir hill,38,77,99,33,1454,247,15.38,31.17,40.08,13.36
richnor springs,9,NA,NA,NA,8,9,100,NA,NA,NA
ridgely's delight,3,18,33,9,413,63,4.76,28.57,52.38,14.29
riverside,25,77,454,65,1507,621,4.03,12.4,73.11,10.47
rognel heights,224,37,7,2,288,270,82.96,13.7,2.59,0.74
roland park,234,221,13,2,2910,472,49.58,46.82,2.75,0.42
rosebank,4,4,27,1,110,36,11.11,11.11,75,2.78
rosemont,379,26,45,NA,267,450,84.22,5.78,10,NA
rosemont east,157,28,4,NA,241,189,83.07,14.81,2.12,NA
rosemont homeowners/tenants,53,4,140,18,65,215,24.65,1.86,65.12,8.37
sabina-mattfeldt,12,9,NA,NA,172,21,57.14,42.86,NA,NA
saint agnes,3,15,4,NA,43,22,13.64,68.18,18.18,NA
saint helena,46,4,NA,NA,21,50,92,8,NA,NA
saint josephs,264,11,56,1,115,332,79.52,3.31,16.87,0.3
saint paul,4,NA,1,NA,70,5,80,NA,20,NA
sandtown-winchester,48,99,730,153,1234,1030,4.66,9.61,70.87,14.85
seton business park,18,2,NA,NA,112,20,90,10,NA,NA
seton hill,8,28,58,48,481,142,5.63,19.72,40.85,33.8
sharp-leadenhall,3,20,55,20,412,98,3.06,20.41,56.12,20.41
shipley hill,17,17,198,28,292,260,6.54,6.54,76.15,10.77
south baltimore,13,34,275,29,461,351,3.7,9.69,78.35,8.26
south clifton park,24,6,93,27,114,150,16,4,62,18
spring garden industrial area,4,3,15,1,29,23,17.39,13.04,65.22,4.35
stadium area,20,3,5,2,104,30,66.67,10,16.67,6.67
stonewood-pentwood-winston,61,17,4,NA,61,82,74.39,20.73,4.88,NA
taylor heights,NA,1,NA,NA,15,1,NA,100,NA,NA
ten hills,268,41,NA,NA,317,309,86.73,13.27,NA,NA
the orchards,89,7,NA,NA,360,96,92.71,7.29,NA,NA
towanda-grantley,112,9,44,9,93,174,64.37,5.17,25.29,5.17
tremont,57,7,8,NA,51,72,79.17,9.72,11.11,NA
tuscany-canterbury,62,16,33,NA,348,111,55.86,14.41,29.73,NA
union square,8,32,24,36,465,100,8,32,24,36
university of maryland,15,20,120,4,505,159,9.43,12.58,75.47,2.52
uplands,40,16,7,NA,381,63,63.49,25.4,11.11,NA
upper fells point,3,32,133,30,710,198,1.52,16.16,67.17,15.15
upton,62,51,548,135,776,796,7.79,6.41,68.84,16.96
violetville,293,52,NA,NA,358,345,84.93,15.07,NA,NA
wakefield,1,NA,NA,NA,31,1,100,NA,NA,NA
walbrook,396,34,40,12,390,482,82.16,7.05,8.3,2.49
waltherson,646,54,68,6,561,774,83.46,6.98,8.79,0.78
washington hill,19,38,295,25,643,377,5.04,10.08,78.25,6.63
washington village/pigtown,51,100,284,79,1065,514,9.92,19.46,55.25,15.37
