nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,stump,dead,poor,fair,good,total_possible,total_trees,total_absent,potential_wellpit
saint paul,1015,13.53,334.6,4.46,NA,NA,10,28.57,61.43,75,70,5,1
sandtown-winchester,27585,12.18,11649.8,5.15,5.4,2.03,14.25,58.96,19.35,2264,1333,931,730
seton business park,3869,29.31,1631.1,12.36,NA,1.75,6.14,14.04,78.07,132,114,18,NA
seton hill,13908,22.32,6861.4,11.01,4.32,1.18,16.31,22.59,55.6,623,509,114,58
sharp-leadenhall,9048,17.74,3444.8,6.75,2.08,2.55,5.32,20.83,69.21,510,432,78,55
shipley hill,6274,11.37,2056.8,3.73,1.94,3.56,4.53,17.15,72.82,552,309,243,198
south baltimore,10014,12.33,3492.5,4.3,3.84,3.03,5.45,26.46,61.21,812,495,317,275
south clifton park,2809,10.64,1226.8,4.65,3.33,1.67,13.33,28.33,53.33,264,120,144,93
spring garden industrial area,718,13.81,251.4,4.83,3.12,6.25,3.12,15.62,71.88,52,32,20,15
stadium area,2628,19.61,1059.5,7.91,NA,2.8,NA,8.41,88.79,134,107,27,5
stonewood-pentwood-winston,2375,16.61,1731.5,12.11,12.82,8.97,17.95,30.77,29.49,143,78,65,4
taylor heights,460,28.75,169.7,10.61,NA,6.25,NA,25,68.75,16,16,NA,NA
ten hills,12737,20.35,6054.9,9.67,9.22,2.23,3.91,24.02,60.61,626,358,268,NA
the orchards,9466,20.76,5348.7,11.73,1.63,0.27,4.9,32.7,60.49,456,367,89,NA
towanda-grantley,3252,12.18,1951.4,7.31,7.84,0.98,20.59,26.47,44.12,267,102,165,45
tremont,1979,16.09,954.3,7.76,12.07,NA,5.17,27.59,55.17,123,58,65,8
tuscany-canterbury,10197,22.22,4681.1,10.2,3.3,1.1,4.95,19.23,71.43,459,364,95,33
union square,12000,21.24,4435.5,7.85,4.43,2.01,4.23,16.1,73.24,565,497,68,24
university of maryland,12357,18.61,4285.6,6.45,2.67,1.14,5.71,25.9,64.57,664,525,139,120
uplands,8195,18.46,2236.26,5.04,2.77,1.26,1.51,12.09,82.37,444,397,47,7
upper fells point,18826,20.73,6918.6,7.62,3.64,0.67,4.04,17.25,74.39,908,742,166,133
upton,19887,12.65,9076.8,5.77,3.51,2.66,16.69,56.35,20.8,1572,827,745,548
violetville,13369,19.02,6694.8,9.52,8.05,4.63,13.41,22.93,50.98,703,410,293,NA
wakefield,981,30.66,371.1,11.6,NA,NA,3.23,22.58,74.19,32,31,1,NA
