objectid,nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,acres,09-63_mean,09-127_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63
184,Parklane,77.03752694282608,77.02050151824943,75.68387565612801,76.09567413330086,94.435698320448,94.49036140441892,92.94337997436523,93.45942840576164,88.76101577005153,88.80823936462406,86.80078315734872,87.66991500854486,79.26942266,0.293968345036607,0.231734163164,0.211946692941866,0.314650710303454,-0.08538866238781662,-0.019787470222134007,0.07035575638006689,0.02068236526684697
185,Parkside,77.99853613887174,78.03531723022456,77.21859359741217,77.77470092773441,94.38439929857847,94.53105888366704,90.71150054931644,93.42134704589847,89.00936475271527,89.00434274673461,88.22887878417961,88.77961997985848,75.19961886,0.18569808529871,0.130551401101159,0.127264360259676,0.217575807379407,-0.02517813530730335,-0.0032870408414830132,0.17166424753071188,0.031877722080697
186,Parkview/Woodbrook,78.10287819002181,78.23709831237801,76.89326438903811,77.25501670837406,95.6572535694398,95.89738388061524,93.6472602844238,94.59490661621096,89.8954781751547,89.98564758300788,88.33878669738776,89.33569984436036,63.07015008,0.200873122864219,0.145158635608364,0.126888892372323,0.200281374423927,-0.12586053292297752,-0.018269743236040997,-0.0029458816184781233,-5.917484402920004e-4
187,Patterson Park,79.13233213680898,79.14296054840091,78.32236251831063,79.00077171325677,95.15073788135574,95.10577430725104,93.02219314575188,94.95172195434571,90.76009833926193,90.71689414978022,89.1189670562744,89.91022644042962,144.56962983,0.267311124941014,0.17569124817912601,0.154234001955943,0.277879032423523,-0.1221304216662305,-0.021457246223183013,0.039534110242665656,0.01056790748250902
8,Patterson Park Neighborhood,80.46641489051025,80.47843713760369,78.5040798187256,79.36169662475582,96.99495936870566,97.01465396881102,94.67087707519538,95.67570724487312,91.48670191712728,91.6454208374024,89.48003616333014,90.9208793640137,108.11266069,0.02243725320279,0.004252857531559,0.018086076921846,0.038591252375084,3.252688172043247,0.013833219390286998,0.7199633139713064,0.016153999172293997
188,Patterson Place,80.63934556461246,80.75712766647335,80.04161643981925,80.33846702575676,98.60063937561085,98.68610534667961,95.87806167602534,97.35772781372071,92.2304340798198,92.57584953308108,90.31495590209965,91.37598114013664,24.3247487,0.06310709205446,0.015413533834586,0.037675269254217,0.070778297094087,1.444297956493177,0.022261735419631,0.12155852519724619,0.00767120503962701
189,Pen Lucy,76.79791299644009,76.80765686035153,76.26043472290034,76.37884330749512,94.07442263226756,93.98512420654299,91.83348617553716,93.94409027099606,88.25234255524458,88.2568492889405,87.59366645812989,87.92816581726069,109.80894237,0.359225093081574,0.271230927844334,0.265234088340829,0.379504945591738,-0.022109718648850852,-0.0059968395035049915,0.0564544429126468,0.020279852510163954
190,Penn North,78.82603731463598,78.87240505218506,78.3385089874268,78.527940750122,95.90300887243332,95.8818794250488,95.23079528808597,95.62536239624023,90.38887883395516,90.43173198699954,89.73877105712894,90.2830268859863,86.52870661,0.144391854642677,0.09261359254361,0.090351310666716,0.147762426125928,-0.024427104216141134,-0.002262281876893993,0.023343224530165185,0.0033705714832509837
191,Penn-Fallsway,80.08545558876477,80.00864028930668,79.7631507873536,79.8759906768799,98.29181154699754,98.31858520507818,97.34978332519538,97.63719253540035,91.21473266960814,91.20775470733642,90.64694900512688,90.90273818969726,86.05618834,0.02811965934713,0.012112421191711,0.012264652238227,0.02302997228246,0.012568176428687763,1.5223104651600032e-4,-0.18100102145047764,-0.005089687064670001
192,Penrose/Fayette Street Outreach,78.68751434035045,78.82110919952393,76.84985466003417,77.19657287597653,95.79773392470561,95.84559879302984,92.45391845703116,94.24725112915034,90.62448203141221,90.60675277709967,87.62089538574212,87.99794616699211,225.87384122,0.139037825203964,0.087956073391925,0.059882611435975,0.119343945866452,-0.31917593491079316,-0.02807346195595,-0.14164404045173826,-0.019693879337511988
193,Perkins Homes,80.07314901954194,79.96150121688842,79.71011085510249,79.87244758605951,95.64977912160765,95.72327289581295,94.92356948852535,95.22812423706063,90.09681022566616,90.12390022277835,89.75327301025395,90.1772079467774,23.72053979,0.211529443639736,0.110219563790211,0.089492825359774,0.141262778362494,-0.1880495414578824,-0.020726738430437,-0.3321838514212512,-0.07026666527724199
194,Perring Loch,77.48200482177019,77.56262016296378,76.32942199707038,77.0451606750488,94.28647036494567,94.3743217468262,91.47807159423836,93.79546585083014,89.01539314100211,89.10072288513176,87.53961715698236,88.46193656921378,139.96547381,0.309041649446664,0.228980116636819,0.253049265103267,0.324495498073126,0.10511457859296837,0.024069148466447976,0.0500057149388503,0.015453848626461986
195,Pimlico Good Neighbors,77.91992709567167,78.0375462532044,76.08269653320309,76.51866149902347,95.09385696680579,95.06187362670899,93.34877548217773,93.81011886596679,89.40378260415002,89.45426292419435,87.88175544738776,88.34241218566892,189.24971033,0.064183757563726,0.03378257479485,0.067034888808494,0.123041398216704,0.9843037191680593,0.033252314013643994,0.9170176830881258,0.058857640652977994
196,Pleasant View Gardens,80.08091806234597,80.04209365844726,79.72066459655761,80.0613609313964,98.2873696399985,98.46141433715822,96.38826675415034,97.62413940429693,91.76453446031101,91.82437095642098,90.59683761596679,91.08940277099606,29.43996947,0.150668368375092,0.04180660979378,0.032956606435145,0.114705783569557,-0.21168909419561938,-0.008850003358634999,-0.23868702630405747,-0.035962584805535006
197,Poppleton,79.00398139254474,79.11645431518554,77.57770919799812,78.31917648315428,95.38100800706695,95.17889175415034,93.14062576293938,94.77951812744145,89.8841710667203,89.67309341430669,88.48557090759272,89.19365005493168,116.57367115,0.238848911711452,0.138670392530181,0.118064360193191,0.173413787108456,-0.14859720204877333,-0.020606032336990016,-0.2739603213350484,-0.065435124602996
198,Port Covington,80.2084876408295,80.17994289398197,78.04889564514153,79.93367576599118,95.08462054106364,95.01265830993657,92.52659301757808,94.55633773803717,89.62350655678861,89.64899902343751,86.79323005676275,88.91387634277346,212.43713477,0.127522924037982,0.04768176629989,0.058097499735302,0.094951650379478,0.21844269295527383,0.010415733435411995,-0.2554150471706782,-0.032571273658503985
199,Pulaski Industrial Area,78.86952044550188,79.2222303390503,75.55296325683597,76.9313285827637,95.45807374299767,95.27497062683108,90.15187072753903,94.05779190063477,89.86697046688883,89.77649021148687,85.31581268310549,88.65992736816403,1259.33213482,0.268753506057407,0.201068393096114,0.157618601408429,0.234594054982831,-0.21609458860555605,-0.04344979168768498,-0.12710327606769667,-0.03415945107457599
200,Purnell,73.93822937094643,73.95218830108635,73.59599609375,74.00285072326652,91.22222105855528,91.25420112609872,88.8051322937012,91.30199508666986,84.53632442557293,84.74666938781738,82.9514484405518,84.35749931335454,24.80398332,0.372590835708449,0.205219939011022,0.458553405217946,0.528112729954358,1.234448599038507,0.253333466206924,0.4174066545415635,0.155521894245909
201,Radnor-Winston,76.30688404072694,76.11337242126464,75.51414718627927,75.66798667907715,93.9997805403681,93.99095726013175,92.9513725280762,93.75555114746096,87.83181900136819,87.65979728698724,87.21379356384273,87.43883132934573,50.29626238,0.445306435288453,0.328711664881543,0.396916485697721,0.530550178348581,0.20749133086213034,0.06820482081617796,0.19142715286589168,0.085243743060128
202,Ramblewood,77.64410660055884,77.77881822586065,76.3612686157226,76.62003097534178,94.58345801355925,94.59505424499511,93.83057403564452,94.35813064575188,89.03184895864275,89.09755487442024,88.18257141113288,88.3662250518799,99.74638126,0.305600229966521,0.225027692627937,0.179123599570795,0.265499817860568,-0.20399308423359386,-0.04590409305714202,-0.13121852725813088,-0.040100412105953
203,Reisterstown Station,76.87507058937199,76.67473087310793,75.53126525878903,75.74971466064451,94.73392300661949,94.76288757324212,92.98972854614264,93.4640975952149,88.72946491211535,88.50382881164546,86.25134658813477,86.8886772155762,290.10152824,0.107496255450684,0.057602159314172,0.136202762872474,0.206677822214422,1.3645426576736626,0.07860060355830198,0.9226513644397545,0.09918156676373799
204,Remington,78.83126076225363,78.94805450439452,75.57153358459479,77.11188888549812,96.70147803174939,96.88413467407227,93.81541290283202,94.62034683227535,90.34414486715383,90.31506919860838,88.21789932250977,88.9278427124024,157.0635142,0.21092049623168,0.162756185191422,0.161103758248364,0.210196575856626,-0.01015277509186218,-0.0016524269430579774,-0.003432195485918228,-7.239203750540046e-4
205,Reservoir Hill,78.9016548984486,78.8922336578369,78.13422851562501,78.37974205017099,96.07265501020048,96.0670436859131,94.49642105102535,95.80940399169914,90.37435700093177,90.33565139770513,89.56183280944819,89.84099884033202,194.94724872,0.239142369894191,0.166475842700191,0.129736206470264,0.195801872737531,-0.2206904955939584,-0.036739636229927014,-0.18123303359348694,-0.043340497156659996
206,Richnor Springs,76.91775229323163,76.92176017761224,76.72839050292961,76.8815673828125,94.34138163520942,94.33376846313476,94.05874633789057,94.38710021972653,88.38316916986795,88.35695877075187,88.1696968078613,88.34365501403809,21.37667553,0.18908068584122,0.136196404192794,0.117662031145151,0.207534072240091,-0.13608562691131332,-0.018534373047642994,0.09759530074037896,0.01845338639887098
207,Ridgely's Delight,79.76108016927813,79.72645044326782,79.39578170776369,79.58901062011711,96.03556892388285,95.99992065429693,95.3815345764161,95.88156356811524,90.91204432254983,90.99997234344482,90.0377845764161,90.67225875854486,31.39272808,0.369297872675453,0.208969090021572,0.179515643944762,0.260498842647267,-0.14094642453469794,-0.029453446076809997,-0.2946104975909269,-0.10879903002818597
