nbrdesc,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff
franklintown road,13,11,24,54.17,45.83
garwyn oaks,20,9,29,68.97,31.03
gay street,20,15,35,57.14,42.86
glen,29,10,39,74.36,25.64
glen oaks,41,15,56,73.21,26.79
glenham-belhar,24,8,32,75,25
graceland park,17,17,34,50,50
greektown,18,13,31,58.06,41.94
greenmount cemetery,NA,4,4,NA,100
greenmount west,17,5,22,77.27,22.73
greenspring,29,3,32,90.62,9.38
grove park,10,8,18,55.56,44.44
